world_index,ellipse,marker_type
1227,"(727.5559692382812, 387.5445861816406)",Ref
1228,"(731.425537109375, 387.2839050292969)",Ref
1229,"(738.4689331054688, 386.7830505371094)",Ref
1230,"(744.070556640625, 386.5448913574219)",Ref
1231,"(749.6708374023438, 386.28631591796875)",Ref
1232,"(755.3814697265625, 386.0)",Ref
1233,"(759.0806274414062, 386.05657958984375)",Ref
1234,"(766.9627685546875, 385.682373046875)",Ref
1235,"(771.9351806640625, 385.2743225097656)",Ref
1236,"(777.9492797851562, 385.29107666015625)",Ref
1237,"(782.8330688476562, 385.0542297363281)",Ref
1238,"(786.3701782226562, 385.0)",Ref
1239,"(794.5, 384.5)",Ref
1240,"(800.17822265625, 384.4418640136719)",Ref
