world_index,gaze_timestamp,gaze,marker,marker_type
4356,8828.41848357393,"(297.5173151586327, 478.54194550614386)","(304.92669677734375, 504.54400634765625)",Ref
4356,8828.42529187093,"(300.44509609636503, 479.3468822284935)","(304.92669677734375, 504.54400634765625)",Ref
4357,8828.43638670393,"(300.54514852809467, 479.6988716498361)","(304.912841796875, 504.9197692871094)",Ref
4357,8828.45158046293,"(300.2539555230748, 482.12508368858124)","(304.912841796875, 504.9197692871094)",Ref
4358,8828.488588777931,"(299.5974068911975, 479.731266432953)","(304.59161376953125, 504.87200927734375)",Ref
4359,8828.51810333293,"(296.97541579696957, 480.3261045274895)","(304.452392578125, 504.4429931640625)",Ref
4359,8828.52552033293,"(294.0049379688411, 478.869239029357)","(304.452392578125, 504.4429931640625)",Ref
4360,8828.53648548193,"(298.5439754710823, 479.6242857217091)","(304.152587890625, 504.31903076171875)",Ref
4360,8828.552242610931,"(298.98402922008484, 479.4062350163658)","(304.152587890625, 504.31903076171875)",Ref
4361,8828.55888622193,"(297.28174438669, 479.1007846629088)","(304.1457214355469, 504.22332763671875)",Ref
4361,8828.56976029593,"(298.74506790674974, 480.30806023614025)","(304.1457214355469, 504.22332763671875)",Ref
4361,8828.58549883293,"(299.1774834576915, 481.5905291800468)","(304.1457214355469, 504.22332763671875)",Ref
4362,8828.59199033293,"(296.87646489125285, 479.43386489433055)","(304.2398376464844, 504.36431884765625)",Ref
4362,8828.60320525893,"(298.9726555415655, 482.0532754810301)","(304.2398376464844, 504.36431884765625)",Ref
4362,8828.616801351931,"(297.69362819126076, 480.002159667513)","(304.2398376464844, 504.36431884765625)",Ref
4362,8828.625209406931,"(298.39971614906705, 481.4023859402686)","(304.2398376464844, 504.36431884765625)",Ref
4363,8828.63632511093,"(296.32661209951976, 481.09787327588526)","(304.4677734375, 504.3388671875)",Ref
4363,8828.65007979593,"(297.5611417371334, 480.00680545859143)","(304.4677734375, 504.3388671875)",Ref
4364,8828.66005625893,"(299.1222554938147, 480.27367729672727)","(304.3244934082031, 504.1932678222656)",Ref
4364,8828.66910096293,"(299.4136952338598, 480.58127564306506)","(304.3244934082031, 504.1932678222656)",Ref
4364,8828.68467642593,"(298.0623316485268, 480.8728465488908)","(304.3244934082031, 504.1932678222656)",Ref
4364,8828.691201647931,"(299.622136671138, 480.04794684918716)","(304.3244934082031, 504.1932678222656)",Ref
4365,8828.70223157393,"(297.53438036337286, 481.859709243544)","(304.1348571777344, 504.0994873046875)",Ref
4365,8828.717092740932,"(300.273030621676, 481.84508927112773)","(304.1348571777344, 504.0994873046875)",Ref
4365,8828.724748555931,"(297.810677927802, 480.5661227418192)","(304.1348571777344, 504.0994873046875)",Ref
4366,8828.73565977793,"(299.435324053228, 481.73643684977293)","(304.3814392089844, 504.0)",Ref
4366,8828.748515443931,"(300.1329441713714, 482.3556135298104)","(304.3814392089844, 504.0)",Ref
4367,8828.76006246293,"(297.10692018891433, 480.450659528963)","(304.5777893066406, 503.6933288574219)",Ref
4367,8828.769223555932,"(297.40213217968284, 480.1231066389081)","(304.5777893066406, 503.6933288574219)",Ref
4367,8828.78459022193,"(299.6227088403545, 479.23219722018274)","(304.5777893066406, 503.6933288574219)",Ref
4367,8828.79137218493,"(300.3929645105074, 479.1590657230752)","(304.5777893066406, 503.6933288574219)",Ref
4368,8828.802490073931,"(298.2800742333187, 481.74477793651533)","(304.59161376953125, 503.87200927734375)",Ref
4368,8828.815627332931,"(300.7402441700835, 480.6442591972419)","(304.59161376953125, 503.87200927734375)",Ref
4368,8828.824472777931,"(298.8584923537922, 480.76754502733604)","(304.59161376953125, 503.87200927734375)",Ref
4369,8828.83579620393,"(300.56489383112387, 481.77512677981576)","(304.5371398925781, 503.9294738769531)",Ref
4369,8828.848967147931,"(299.1492290233327, 480.7270848357409)","(304.5371398925781, 503.9294738769531)",Ref
4370,8828.857852203932,"(300.03776923912517, 480.5953011910308)","(304.2802429199219, 504.1131286621094)",Ref
4370,8828.86908868493,"(300.1933230085135, 480.5471693211595)","(304.2802429199219, 504.1131286621094)",Ref
4370,8828.88561990693,"(300.4334537569766, 480.8189872971915)","(304.2802429199219, 504.1131286621094)",Ref
4371,8828.89221520393,"(301.8404653914648, 482.3328482506254)","(304.2998046875, 504.3597106933594)",Ref
4371,8828.91037259193,"(298.27657877276386, 481.3009649541513)","(304.2998046875, 504.3597106933594)",Ref
4372,8828.93963898093,"(297.43227497519865, 479.6779067396083)","(304.46051025390625, 504.8360900878906)",Ref
4372,8828.94663892593,"(300.34524606056806, 478.8123700817999)","(304.46051025390625, 504.8360900878906)",Ref
4372,8828.95771699993,"(301.01702566005713, 481.39207265622883)","(304.46051025390625, 504.8360900878906)",Ref
4373,8828.972871610931,"(299.19808418507273, 483.24942648315414)","(304.44268798828125, 504.4390563964844)",Ref
4373,8828.98003512893,"(298.3256899595824, 481.2617873889664)","(304.44268798828125, 504.4390563964844)",Ref
4374,8828.993168240931,"(298.89617423671143, 479.803456153483)","(304.4478454589844, 504.203125)",Ref
4374,8829.00443281493,"(296.6946010940716, 480.73463261905954)","(304.4478454589844, 504.203125)",Ref
4374,8829.01339211093,"(297.13371162370095, 479.8320174786861)","(304.4478454589844, 504.203125)",Ref
4375,8829.024492351931,"(297.78478978118, 480.61251017260366)","(304.1855163574219, 503.8862609863281)",Ref
4375,8829.03738898093,"(301.3035673464408, 480.92482629489564)","(304.1855163574219, 503.8862609863281)",Ref
4375,8829.04650009193,"(298.06830008982604, 480.0639488522918)","(304.1855163574219, 503.8862609863281)",Ref
4375,8829.05741153693,"(298.32052552640636, 480.4674313456452)","(304.1855163574219, 503.8862609863281)",Ref
4376,8829.07059494393,"(300.72214393450014, 482.05159907246787)","(304.2706298828125, 503.8503112792969)",Ref
4376,8829.07990699993,"(303.64207762148374, 480.8646225999429)","(304.2706298828125, 503.8503112792969)",Ref
4377,8829.09271153693,"(298.20796069000136, 480.9271426089143)","(304.8115539550781, 503.281005859375)",Ref
4377,8829.10397207393,"(298.277806461876, 478.07597661208104)","(304.8115539550781, 503.281005859375)",Ref
4377,8829.11303324093,"(300.31374598201865, 480.3630350042432)","(304.8115539550781, 503.281005859375)",Ref
4378,8829.124245739931,"(300.1656035270118, 479.03013998672793)","(304.9502258300781, 503.0833435058594)",Ref
4378,8829.13927155493,"(303.15693869687556, 480.90823336972204)","(304.9502258300781, 503.0833435058594)",Ref
4378,8829.14635781493,"(302.4250029175167, 478.4656218234807)","(304.9502258300781, 503.0833435058594)",Ref
4378,8829.15719968493,"(299.41316707551914, 481.3547290759244)","(304.9502258300781, 503.0833435058594)",Ref
4379,8829.170383888932,"(301.3633475492193, 479.1907692776068)","(304.8862609863281, 503.1855163574219)",Ref
4379,8829.17981836993,"(301.1759350374224, 479.00152656793546)","(304.8862609863281, 503.1855163574219)",Ref
4380,8829.19286375893,"(300.54453917245866, 478.22271403418296)","(304.6563720703125, 503.3436279296875)",Ref
4380,8829.20444468493,"(302.28527933382253, 481.70052569252397)","(304.6563720703125, 503.3436279296875)",Ref
4380,8829.21315286993,"(302.8615565233406, 479.8354046582629)","(304.6563720703125, 503.3436279296875)",Ref
4381,8829.22382716593,"(302.06728042401676, 479.9266433307834)","(825.9703369140625, 501.10980224609375)",Ref
4381,8829.23693586993,"(302.2846846309622, 479.57871882054013)","(825.9703369140625, 501.10980224609375)",Ref
4381,8829.246220776931,"(299.8276018793641, 479.0914480611697)","(825.9703369140625, 501.10980224609375)",Ref
4381,8829.25701231393,"(302.0860019320424, 481.03859562035245)","(825.9703369140625, 501.10980224609375)",Ref
4382,8829.27125879593,"(303.961223528786, 479.3947939786671)","(825.8416137695312, 500.9383850097656)",Ref
4382,8829.27946403693,"(301.0883236480207, 479.63857529152875)","(825.8416137695312, 500.9383850097656)",Ref
4383,8829.29030640693,"(301.5914762678947, 479.8701299958159)","(825.9474487304688, 500.71978759765625)",Ref
4383,8829.30550051793,"(302.921839369625, 480.45932908681885)","(825.9474487304688, 500.71978759765625)",Ref
4383,8829.31274894393,"(301.94917226275066, 478.41126460920935)","(825.9474487304688, 500.71978759765625)",Ref
4383,8829.32366635093,"(302.6085395036779, 480.54823363773363)","(825.9474487304688, 500.71978759765625)",Ref
4384,8829.33689349993,"(302.2128360802096, 479.1139512453146)","(826.0393676757812, 500.8593444824219)",Ref
